country,iso2,iso3,indicator_used,unit,cts_code,sector,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Basic metals,2.176563189,11.49949134,4.793871637,4.431892568,3.598300543,6.057432411,6.839405333,10.64089886,5.242463256,6.521866306,6.022360819,4.666354551
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Chemicals and pharmaceutical products,62.81651962,77.42692089,96.46748187,71.21325162,61.01907756,139.4184301,116.8955398,155.0955016,193.1952828,110.3889638,85.03529772,75.55865405
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Coke and refined petroleum products,222.8516072,374.7626444,80.52049926,35.05684969,17.56052212,128.168271,33.95554212,24.04439657,30.77109568,15.70586394,14.80792283,7.831472459
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,"Computer, electronic and optical products",403.9723364,958.0570599,661.1734982,870.3853382,981.3611756,1302.468002,1853.258343,2316.611656,1955.405967,1932.874457,1753.959915,1906.071778
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Education,0.307061895,0.036266618,0.056258488,0.032099266,0.028885502,0.022658307,0.031800306,0.04933885,0.047830057,0.044032117,0.045144767,0.068735399
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Electrical equipment,273.3544266,359.0333641,175.2904481,148.9621158,156.0483507,193.3790589,137.4467282,337.6272781,253.5727759,210.926478,169.0800376,152.535334
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Fabricated metal products,15.04624435,18.00182257,24.08467204,18.61266222,20.52961702,31.56822424,26.19954988,34.10409632,93.14658412,66.70342729,44.89878479,24.14624101
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Financial and insurance activities,5.353763188,10.76031995,6.325517245,5.847861658,7.095920218,6.884463101,7.809104908,10.77698917,6.179003616,7.091162737,11.04084864,8.280412502
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,"Food products, beverages and tobacco",23.15572811,29.9120588,24.38197195,28.32366543,22.46360749,44.56852704,47.38608213,45.62621767,39.31580029,33.65281734,25.85423513,22.7337504
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Human health and social work,0.784991109,0.429184819,0.608111739,0.346423122,0.300787244,0.239419728,0.324985036,0.459925381,0.456164254,0.424421325,0.373910741,0.328472075
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,IT and other information services,24.49913704,40.72281907,59.44511291,78.95982811,99.03693496,126.1951735,150.5297998,238.8522956,213.536763,238.5282612,230.9194406,230.6169142
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,"Machinery and equipment, nec",196.7547272,346.3460721,216.3761928,226.6203823,222.0329379,292.0134323,252.1323666,610.356939,466.8131784,454.8558454,409.3924837,297.0286657
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Mining and quarrying,3.472469291,4.304965014,2.748684402,6.238427192,4.928522761,5.133917782,4.49320637,10.88300531,7.382803834,10.08445828,4.420812667,6.464810281
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,"Motor vehicles, trailers and semi-trailers",346.9513508,454.4837473,563.2918591,692.0304766,474.2172947,743.0018852,671.1852302,699.9076269,697.120559,687.8403053,610.3097359,507.5128255
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Other business sector services,83.35606814,161.3021519,162.5939086,184.7106672,153.9879752,200.7734682,178.9447477,292.4267599,235.7812553,193.9515991,188.3511821,174.4025729
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,"Other manufacturing, repair and installation of machinery and equipment",104.2018157,123.3037187,126.0634317,106.5627901,137.3858639,207.3134651,195.7379547,279.72218,241.8258958,257.00564,262.0749596,170.5879745
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Other non-metallic mineral products,23.45209464,42.84724154,12.42890036,8.481251684,5.665326171,9.351048538,5.148847726,12.33075441,8.029725347,10.12474808,2.024189658,1.810382326
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Other transport equipment,74.9938843,61.81036533,46.66078087,63.52077186,71.46473425,87.61452386,72.12124683,176.3575637,75.10907853,182.0141645,149.1534276,173.433733
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Paper products and printing,18.26711672,23.46662684,30.85256153,23.7397736,18.33158019,30.52485003,27.56957359,27.17586082,20.92444108,27.67972836,17.17473164,16.3510908
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,"Publishing, audiovisual and broadcasting activities",2.325116564,2.963932376,2.820866177,1.799099323,2.26841095,2.300149719,3.032540527,6.140541954,4.40735029,4.95701959,4.256501451,3.571432009
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Real estate activities,1.71373734,2.164949698,1.901034356,1.362812848,1.495461365,1.54048768,1.612554835,1.106887881,1.51911942,1.345860439,1.916403053,2.385793018
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Rubber and plastic products,16.66662222,23.68288219,32.78005151,26.7625422,19.52131243,38.77430348,32.76763889,92.0821107,25.43519949,19.851463,19.30817611,20.30642206
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Telecommunications,5.975434726,6.383695467,8.08367868,9.400892826,8.750997591,8.074280593,14.64191522,39.47742714,9.949908166,11.75338323,7.551599839,7.655259072
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,"Textiles, wearing apparel, leather and related products",23.66287185,61.10520063,33.86101432,24.34493736,18.13969094,21.55324563,19.68979953,29.02119798,17.21848347,20.62125413,16.71507055,13.15607061
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Transportation and storage,420.33305,526.419089,600.3426431,498.8638737,483.080677,797.4603041,615.5796377,1759.567479,1195.455703,757.8786112,987.5145189,765.8683524
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,"Wholesale and retail trade, repair of motor vehicles",72.74821465,145.5427791,113.685946,118.1419925,86.45862205,140.4658046,122.8048186,246.80688,158.9389241,122.5502988,100.2856712,20.28861122
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Wood and products of wood and cork,5.328029321,4.895652952,4.592109434,4.394351059,3.818163184,5.465160163,3.780594041,6.776538617,5.716736618,4.124852754,2.784381084,2.647944292
