country,iso2,iso3,indicator_used,unit,cts_code,industry,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Air transport,1824.175824,2158.835759,2537.110866,2782.937365,2539.430705,2940.029254,3021.604625,2796.18192,2696.367865,2632.515983,2403.644008,2020.806695,1447.120235,1352.545772,1438.572198,1295.88088,1253.804899,1181.709286,1158.726359,1305.046609,1277.579512,1411.612625,1429.828421,1442.714283
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,"Arts, entertainment and recreation",54.21574126,60.54210176,77.61160208,114.6772449,122.1640489,154.9983719,158.3863544,121.7608492,97.30762343,72.36202614,50.97030629,32.5770797,25.6667237,22.35330643,28.29521339,25.90955211,23.58795399,20.60748545,21.07341016,24.04737845,21.75843139,25.33043614,29.88280338,30.9327854
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Basic metals,696.4887756,729.8123812,781.4541623,831.18695,739.2292353,834.4236081,745.6647399,605.6701031,659.5628185,608.786762,462.6898115,444.455567,524.6009295,486.6577312,448.8468049,294.2097027,248.5895979,225.6244964,264.504979,319.9684294,313.4162526,342.0487371,306.8147444,304.3957558
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Chemicals and pharmaceutical products,793.7898477,413.5941007,875.735775,397.1690258,619.9179679,588.3237472,312.1636168,214.4814712,221.4036154,186.5338372,163.6028318,150.9769094,152.6461244,127.7144794,127.0610618,100.1244376,76.6473199,59.80127576,44.53275835,64.06184536,75.18002246,69.63823634,80.66207033,54.74797055
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Coke and refined petroleum products,184.6307385,163.7746149,172.4137931,271.3992759,223.1703315,147.9127612,171.4014724,218.5416667,219.097319,210.8032143,139.3222666,100.4088815,71.28775108,50.19533849,91.32362889,58.44733387,35.50016523,37.7400095,42.88365275,44.94096358,71.71105052,85.1822226,79.8286073,61.94031799
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,"Computer, electronic and optical products",8.98315367,3.458425878,6.231219796,12.40229116,33.45323209,54.31474088,37.21006775,17.91647664,25.76775866,24.06582105,25.24964156,20.39153884,18.90061427,26.73530476,24.86217706,21.16981876,20.29634298,16.68755674,15.77601438,16.16623686,18.33822141,18.85186086,19.72001715,17.14004491
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Construction,118.461919,128.76784,148.5324637,179.2824926,178.7519979,182.0009884,180.4864847,172.2712023,160.8355091,151.6950983,132.6399439,84.89852881,142.6183928,111.5468078,108.827801,83.4291491,71.17420096,59.5280467,57.95927717,56.33073516,58.02025532,63.75334963,67.07613893,64.71295184
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Education,23.50105453,22.48555303,28.89709424,44.67153285,49.45623376,59.3213636,69.56918427,65.49012388,61.3604929,52.77525023,47.47178285,40.34892838,31.71181304,30.81602963,38.7660612,36.35479501,33.75971753,30.23193271,30.0963424,32.95175797,30.93401543,34.67986343,39.24348118,40.68086929
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Electrical equipment,10.56300834,12.87314731,15.96877218,23.49220691,33.1862726,34.14723701,41.90675746,41.27639308,55.14798887,59.43594126,62.22010859,52.58833196,38.11872863,33.93611467,27.03632699,18.90516256,13.52277569,9.151871142,8.411072029,8.653056436,11.75711521,12.2506848,12.58114167,9.85915493
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,"Electricity, gas, steam and air conditioning supply",4335.521134,4385.918666,4999.144526,6679.52827,5096.140917,6195.172666,6518.996583,5802.036748,6105.244179,5819.101097,5533.04818,4011.746595,2710.014238,2543.265882,2683.677999,2511.257036,2338.298747,2253.160436,2407.552338,2474.241028,2636.730025,2751.108441,3054.906424,3197.045545
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Fabricated metal products,61.31935516,69.31530008,64.66074662,79.03402854,60.70954278,49.55892556,139.6116258,202.5523943,269.7861861,292.6285946,284.9627356,221.785922,162.0701396,128.0055354,100.3224651,65.6167979,40.05761095,22.63998383,21.1793557,21.73680647,24.03678673,24.07946223,24.06425807,22.39850677
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Financial and insurance activities,24.56695536,30.96442867,44.16314688,72.07884543,79.24176507,98.29387803,110.8691652,97.74935989,86.56252113,72.55153851,59.11517925,46.91742007,42.87732321,39.39980957,47.70394408,44.0995319,41.9221968,37.29502536,36.84560513,39.5387532,37.57715218,41.89712352,47.16656703,49.01960784
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Fishing and aquaculture,462.019496,459.3292023,479.5184752,584.0783312,480.8682855,452.4660747,514.8695124,507.1618532,484.4753747,416.4480852,360.9490199,260.80153,176.3451649,170.9637684,148.6923432,129.0250614,95.32335339,77.28619719,72.14928193,63.15402492,69.31074317,78.11056217,92.7268153,67.04256343
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,"Food products, beverages and tobacco",125.2775135,151.9071125,160.2620482,222.6714522,158.2295034,161.5036509,141.2217393,129.2987298,123.6273499,107.1280755,91.1279828,68.73526535,51.2564297,47.03407011,44.55996186,40.42578501,33.90903414,27.89252388,25.89754856,26.50345453,23.31292569,33.88421136,31.73716141,26.31507363
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Human health and social work activities,24.24242424,17.70792983,22.01151371,33.77164619,37.88114016,46.71684402,55.69810376,48.49604526,42.50151791,33.95246655,27.67088936,23.30751578,23.44133994,27.20870679,40.11537314,42.03211253,42.72756803,42.19598689,41.06310099,43.33887438,41.20639957,45.30936641,50.19862766,52.51066623
